Date;Open;High;Low;Close;Adj Close;Volume
01/04/2019;63;68,699997;62,220001;66,019997;56,703663;14843844
01/05/2019;66,019997;66,82;58,459999;58,860001;50,554039;16034500
01/06/2019;58,439999;60,419998;55,779999;57,639999;51,501774;15215243
01/07/2019;58,400002;62,32;57,52;58,279999;52,073616;14280533
01/08/2019;58,200001;59,119999;48,650002;52,639999;47,034233;18226518
01/09/2019;52,66;61,099998;51,84;59,619999;53,270916;18145903
01/10/2019;59,98;65,059998;56,279999;62,880001;56,183754;18635856
01/11/2019;62,82;68,099998;62,540001;66,139999;59,096588;17795895
01/12/2019;66,459999;68,5;64,879997;67,059998;60,826748;11970305
01/01/2020;67,059998;69,540001;65,980003;66,260002;60,101112;12371313
01/02/2020;66,760002;73,559998;59,220001;60,02;54,44112;17086026
01/03/2020;60,98;62,580002;33,439999;42,02;38,114227;38186472
01/04/2020;41,380001;53,52;40,950001;49,279999;44,699406;15254340
01/05/2020;49,279999;53,32;39,459999;47,07;42,694824;18439028
01/06/2020;48,200001;55,380001;47,029999;51,060001;48,874432;19046297
01/07/2020;51,360001;56,419998;47,91;48,32;46,251713;11955305
01/08/2020;48,23;52,299999;46,700001;48,099998;46,04113;15396440
01/09/2020;48,82;48,959999;41,110001;42,790001;40,95842;16725068
01/10/2020;43,139999;46,439999;40,880001;42,330002;40,518108;14760585
01/11/2020;42,740002;61,82;41,599998;58,400002;55,900249;21412845
01/12/2020;58,560001;64,019997;55,080002;57,279999;54,82819;14928822
01/01/2021;57,279999;62,639999;55,700001;57,720001;55,249359;13525118
01/02/2021;58,200001;62,66;57,16;59,619999;57,068027;12835190
01/03/2021;60,18;65,660004;56,68;62;59,346157;17223823
01/04/2021;62,439999;65,620003;60,52;64,620003;61,854012;9466052
01/05/2021;64,519997;68,980003;63,880001;66,879997;64,017265;10708592
01/06/2021;67,300003;69,059998;62,68;64,300003;61,945843;11882214
01/07/2021;64,839996;69,040001;61,68;67,900002;65,41404;9652648
01/08/2021;68,480003;72,660004;67,080002;71,339996;68,728088;7671577
01/09/2021;71,839996;78,620003;69,339996;78,040001;75,182785;11868650
01/10/2021;76,5;81,239998;76,400002;80,559998;77,610519;11844568
01/11/2021;80,720001;86,5;71,199997;74,019997;71,309967;12754166
01/12/2021;74,300003;76,540001;70,980003;75,459999;75,459999;8445990
01/01/2022;76,099998;85,059998;74,900002;76,940002;76,940002;11724496
01/02/2022;77,5;80,300003;76,860001;79,300003;79,300003;1653622
